Authors	Title	PublicationName	Volume	Issue	BeginningPage	EndingPage	DOI	PublicationDate	PublicationYear	TimesCited	AccessionNumber
"Travis, Joseph"	"Where Is Natural History in Ecological, Evolutionary, and Behavioral Science?"	AMERICAN NATURALIST	196	1	1	8	10.1086/708765	JUL 1 2020	2020	0	WOS:000543529800002
"McEntee, Jay P.; Burleigh, J. Gordon; Singhal, Sonal"	Dispersal Predicts Hybrid Zone Widths across Animal Diversity: Implications for Species Borders under Incomplete Reproductive Isolation	AMERICAN NATURALIST	196	1	9	28	10.1086/709109	JUL 1 2020	2020	0	WOS:000543529800003
"Ruiz-Herrera, Alfonso; Torres, Pedro J."	Optimal Network Architectures for Spatially Structured Populations with Heterogeneous Diffusion	AMERICAN NATURALIST	196	1	29	44	10.1086/708806	JUL 1 2020	2020	0	WOS:000543529800005
"Bonebrake, Timothy C.; Rezende, Enrico L.; Bozinovic, Francisco"	Climate Change and Thermoregulatory Consequences of Activity Time in Mammals	AMERICAN NATURALIST	196	1	45	56	10.1086/709010	JUL 1 2020	2020	0	WOS:000543529800006
"Hodge, Jennifer R.; Santini, Francesco; Wainwright, Peter C."	Correlated Evolution of Sex Allocation and Mating System in Wrasses and Parrotfishes	AMERICAN NATURALIST	196	1	57	73	10.1086/708764	JUL 1 2020	2020	0	WOS:000543529800007
"de Solan, Thomas; Renoult, Julien Pierre; Geniez, Philippe; David, Patrice; Crochet, Pierre-Andre"	Looking for Mimicry in a Snake Assemblage Using Deep Learning	AMERICAN NATURALIST	196	1	74	86	10.1086/708763	JUL 1 2020	2020	0	WOS:000543529800008
"Hetherington-Rauth, Molly C.; Johnson, Marc T. J."	Floral Trait Evolution of Angiosperms on Pacific Islands	AMERICAN NATURALIST	196	1	87	100	10.1086/709018	JUL 1 2020	2020	0	WOS:000543529800009
"Mullon, Charles; Keller, Laurent; Lehmann, Laurent"	"Evolutionary Stability of Jointly Evolving Traits in Subdivided Populations (vol 188, pg 175, 2020)"	AMERICAN NATURALIST	196	1	101	101	10.1086/708867	JUL 1 2020	2020	0	WOS:000543529800010
"Thompson, Ken A."	Experimental Hybridization Studies Suggest That Pleiotropic Alleles Commonly Underlie Adaptive Divergence between Natural Populations	AMERICAN NATURALIST	196	1	E16	E22	10.1086/708722	JUL 1 2020	2020	0	WOS:000543529800004
"Webber, Quinn M. R.; Laforge, Michel P.; Bonar, Maegwin; Robitaille, Alec L.; Hart, Christopher; Zabihi-Seissan, Sana; Vander Wal, Eric"	The Ecology of Individual Differences Empirically Applied to Space-Use and Movement Tactics	AMERICAN NATURALIST	196	1	E1	E15	10.1086/708721	JUL 1 2020	2020	0	WOS:000543529800001
"Givnish, Thomas J."	The Adaptive Geometry of Trees Revisited	AMERICAN NATURALIST	195	6	935	947	10.1086/708498	Jun-20	2020	0	WOS:000537567400003
"Hernandez-Hernandez, Tania; Wiens, John J."	Why Are There So Many Flowering Plants? A Multiscale Analysis of Plant Diversification	AMERICAN NATURALIST	195	6	948	963	10.5061/dryad.5tb2rbp10	Jun-20	2020	0	WOS:000537567400004
"Lopez-Sepulcre, Andres; Bruneaux, Matthieu; Collins, Sarah; El-Sabaawi, Rana; Flecker, Alexander S.; Thomas, Steven A."	A New Method to Reconstruct Quantitative Food Webs and Nutrient Flows from Isotope Tracer Addition Experiments	AMERICAN NATURALIST	195	6	964	982	10.5061/dryad.8sf7m0chx	Jun-20	2020	0	WOS:000537567400005
"Roth-Monzon, Andrea J.; Belk, Mark C.; Jaime Zuniga-Vega, J.; Johnson, Jerald B."	Beyond Pairwise Interactions: Multispecies Character Displacement in Mexican Freshwater Fish Communities	AMERICAN NATURALIST	195	6	983	996	10.5061/dryad.n02v6wwt0	Jun-20	2020	0	WOS:000537567400006
"Han, Chang S.; Brooks, Robert C.; Dingemanse, Niels J."	Condition-Dependent Mutual Mate Preference and Intersexual Genetic Correlations for Mating Activity	AMERICAN NATURALIST	195	6	997	1008	10.5061/dryad.0vt4b8gv7	Jun-20	2020	1	WOS:000537567400007
"Matthiopoulos, Jason; Fieberg, John; Aarts, Geert; Barraquand, Frederic; Kendall, Bruce E."	Within Reach? Habitat Availability as a Function of Individual Mobility and Spatial Structuring	AMERICAN NATURALIST	195	6	1009	1026	10.1086/708519	Jun-20	2020	0	WOS:000537567400008
"Guindre-Parker, Sarah; Rubenstein, Dustin R."	Survival Benefits of Group Living in a Fluctuating Environment	AMERICAN NATURALIST	195	6	1027	1036	10.1086/708496	Jun-20	2020	0	WOS:000537567400009
"Federico, Valentine; Allaine, Dominique; Gaillard, Jean-Michel; Cohas, Aurelie"	Evolutionary Pathways to Communal and Cooperative Breeding in Carnivores	AMERICAN NATURALIST	195	6	1037	1055	10.1086/708639	Jun-20	2020	0	WOS:000537567400010
"Mull, Christopher G.; Yopak, Kara E.; Dulvy, Nicholas K."	"Maternal Investment, Ecological Lifestyle, and Brain Evolution in Sharks and Rays"	AMERICAN NATURALIST	195	6	1056	1069	10.5061/dryad.kprr4xh1b	Jun-20	2020	0	WOS:000537567400011
"Videvall, Elin; Palinauskas, Vaidas; Valkiunas, Gediminas; Hellgren, Olof"	Host Transcriptional Responses to High- and Low-Virulent Avian Malaria Parasites	AMERICAN NATURALIST	195	6	1070	1084	10.1086/708530	Jun-20	2020	0	WOS:000537567400012
"Downing, Philip A.; Griffin, Ashleigh S.; Cornwallis, Charlie K."	The Benefits of Help in Cooperative Birds: Nonexistent or Difficult to Detect?	AMERICAN NATURALIST	195	6	1085	1091	10.1086/708515	Jun-20	2020	0	WOS:000537567400013
"Oksanen, Lauri"	"Exploitation Ecosystems in Gradients of Primary Productivity (vol 118, pg 240, 1981)"	AMERICAN NATURALIST	195	6	1092	1093	10.1086/708807	Jun-20	2020	0	WOS:000537567400014
"Blackford, Christopher; Germain, Rachel M.; Gilbert, Benjamin"	Species Differences in Phenology Shape Coexistence	AMERICAN NATURALIST	195	6	E168	E180	10.5061/dryad.0vt4b8gv9	Jun-20	2020	1	WOS:000537567400002
"Irwin, Darren E."	Assortative Mating in Hybrid Zones Is Remarkably Ineffective in Promoting Speciation	AMERICAN NATURALIST	195	6	E150	E167	10.5061/dryad.k98sf7m30	Jun-20	2020	3	WOS:000537567400001
"Charlesworth, Brian"	"How Long Does It Take to Fix a Favorable Mutation, and Why Should We Care?"	AMERICAN NATURALIST	195	5	753	771	10.1086/708187	May-20	2020	1	WOS:000536129000003
"Miles, Meredith C.; Schuppe, Eric R.; Fuxjager, Matthew J."	Selection for Rhythm as a Trigger for Recursive Evolution in the Elaborate Display System of Woodpeckers	AMERICAN NATURALIST	195	5	772	787	10.1086/707748	May-20	2020	0	WOS:000536129000004
"Minias, Piotr"	Ecology and Evolution of Blood Oxygen-Carrying Capacity in Birds	AMERICAN NATURALIST	195	5	788	801	10.1086/707720	May-20	2020	0	WOS:000536129000005
"Schumm, Matthew; White, Alexander E.; Supriya, K.; Price, Trevor D."	Ecological Limits as the Driver of Bird Species Richness Patterns along the East Himalayan Elevational Gradient	AMERICAN NATURALIST	195	5	802	817	10.1086/707665	May-20	2020	1	WOS:000536129000006
"Liu, Mark; Chan, Shih-Fan; Rubenstein, Dustin R.; Sun, Syuan-Jyun; Chen, Bo-Fei; Shen, Sheng-Feng"	Ecological Transitions in Grouping Benefits Explain the Paradox of Environmental Quality and Sociality	AMERICAN NATURALIST	195	5	818	832	10.1086/708185	May-20	2020	0	WOS:000536129000007
"Goel, Nikunj; Guttal, Vishwesha; Levin, Simon A.; Staver, A. Carla"	Dispersal Increases the Resilience of Tropical Savanna and Forest Distributions	AMERICAN NATURALIST	195	5	833	850	10.1086/708270	May-20	2020	0	WOS:000536129000008
"Harman, Rachel R.; Goddard, Jerome, II; Shivaji, Ratnasingham; Cronin, James T."	Frequency of Occurrence and Population-Dynamic Consequences of Different Forms of Density-Dependent Emigration	AMERICAN NATURALIST	195	5	851	867	10.1086/708156	May-20	2020	0	WOS:000536129000009
"Thuenken, Timo; Hesse, Saskia; Meuthen, Denis"	Increased Levels of Perceived Competition Decrease Juvenile Kin-Shoaling Preferences in a Cichlid Fish	AMERICAN NATURALIST	195	5	868	875	10.1086/707747	May-20	2020	1	WOS:000536129000010
"Gabriel Martinez, Juan; Molina-Morales, Mercedes; Precioso, Marta; Miguel Aviles, Jesus"	Age-Related Brood Parasitism and Egg Rejection in Magpie Hosts	AMERICAN NATURALIST	195	5	876	885	10.1086/708155	May-20	2020	0	WOS:000536129000011
"Barks, Patrick M.; Laird, Robert A."	Parental Age Effects and the Evolution of Senescence	AMERICAN NATURALIST	195	5	886	898	10.1086/708271	May-20	2020	0	WOS:000536129000012
"Voje, Kjetil Lysne; Di Martino, Emanuela; Porto, Arthur"	Revisiting a Landmark Study System: No Evidence for a Punctuated Mode of Evolution in Metrarabdotos	AMERICAN NATURALIST	195	5	899	917	10.1086/707664	May-20	2020	0	WOS:000536129000013
"Feiner, Nathalie; de Souza-Lima, Sueli; Jorge, Fatima; Naem, Soraya; Aubret, Fabien; Uller, Tobias; Nadler, Steven A."	Vertical Transmission of a Nematode from Female Lizards to the Brains of Their Offspring	AMERICAN NATURALIST	195	5	918	926	10.1086/708188	May-20	2020	0	WOS:000536129000014
"Legett, Henry D.; Hemingway, Claire T.; Bernal, Ximena E."	Prey Exploits the Auditory Illusions of Eavesdropping Predators	AMERICAN NATURALIST	195	5	927	933	10.1086/707719	May-20	2020	0	WOS:000536129000015
"Ellner, Stephen P.; Ng, Wee Hao; Myers, Christopher R."	Individual Specialization and Multihost Epidemics: Disease Spread in Plant-Pollinator Networks	AMERICAN NATURALIST	195	5	E118	E131	10.1086/708272	May-20	2020	0	WOS:000536129000001
"Twomey, Evan; Kain, Morgan; Claeys, Myriam; Summers, Kyle; Castroviejo-Fisher, Santiago; Van Bocxlaer, Ines"	Mechanisms for Color Convergence in a Mimetic Radiation of Poison Frogs	AMERICAN NATURALIST	195	5	E132	E149	10.1086/708157	May-20	2020	1	WOS:000536129000002
"Colom, Sara M.; Baucom, Regina S."	Belowground Competition Can Influence the Evolution of Root Traits	AMERICAN NATURALIST	195	4	577	590	10.1086/707597	Apr-20	2020	2	WOS:000536127600003
"Jiang, Jiang; Abbott, Karen C.; Baudena, Mara; Eppinga, Maarten B.; Umbanhowar, James A.; Bever, James D."	Pathogens and Mutualists as Joint Drivers of Host Species Coexistence and Turnover: Implications for Plant Competition and Succession	AMERICAN NATURALIST	195	4	591	602	10.1086/707355	Apr-20	2020	2	WOS:000536127600004
"Ferguson, Laura V.; Sinclair, Brent J."	Thermal Variability and Plasticity Drive the Outcome of a Host-Pathogen Interaction	AMERICAN NATURALIST	195	4	603	615	10.1086/707545	Apr-20	2020	0	WOS:000536127600005
"Mihaljevic, Joseph R.; Polivka, Carlos M.; Mehmel, Constance J.; Li, Chentong; Dukic, Vanja; Dwyer, Greg"	An Empirical Test of the Role of Small-Scale Transmission in Large-Scale Disease Dynamics	AMERICAN NATURALIST	195	4	616	635	10.1086/707457	Apr-20	2020	0	WOS:000536127600006
"Luttbeg, Barney; Ferrari, Maud C. O.; Blumstein, Daniel T.; Chivers, Douglas P."	Safety Cues Can Give Prey More Valuable Information Than Danger Cues	AMERICAN NATURALIST	195	4	636	648	10.1086/707544	Apr-20	2020	0	WOS:000536127600007
"Scharf, Inon"	Factors That Can Affect the Spatial Positioning of Large and Small Individuals in Clusters of Sit-and-Wait Predators	AMERICAN NATURALIST	195	4	649	663	10.1086/707392	Apr-20	2020	0	WOS:000536127600008
"Quinones, Andres E.; Leimar, Olof; Lotem, Arnon; Bshary, Redouan"	Reinforcement Learning Theory Reveals the Cognitive Requirements for Solving the Cleaner Fish Market Task	AMERICAN NATURALIST	195	4	664	677	10.1086/707519	Apr-20	2020	0	WOS:000536127600009
"Burton, Tim; Rollinson, Njal; McKelvey, Simon; Stewart, David C.; Armstrong, John D.; Metcalfe, Neil B."	"Adaptive Maternal Investment in the Wild? Links between Maternal Growth Trajectory and Offspring Size, Growth, and Survival in Contrasting Environments"	AMERICAN NATURALIST	195	4	678	690	10.1086/707518	Apr-20	2020	0	WOS:000536127600010
"Pearse, Ian S.; Aguilar, Jessica M.; Strauss, Sharon Y."	Life-History Plasticity and Water-Use Trade-Offs Associated with Drought Resistance in a Clade of California Jewelflowers	AMERICAN NATURALIST	195	4	691	704	10.1086/707371	Apr-20	2020	0	WOS:000536127600011
"Start, Denon; Weis, Arthur E.; Gilbert, Benjamin"	Ecological and Evolutionary Stochasticity Shape Natural Selection	AMERICAN NATURALIST	195	4	705	716	10.1086/707364	Apr-20	2020	2	WOS:000536127600012
"Lehmann, Laurent; Rousset, Francois"	When Do Individuals Maximize Their Inclusive Fitness?	AMERICAN NATURALIST	195	4	717	732	10.1086/707561	Apr-20	2020	1	WOS:000536127600013
"White, Thomas E.; Vogel-Ghibely, Nina; Butterworth, Nathan J."	Flies Exploit Predictable Perspectives and Backgrounds to Enhance Iridescent Signal Salience and Mating Success	AMERICAN NATURALIST	195	4	733	742	10.1086/707584	Apr-20	2020	0	WOS:000536127600014
"Meade, Lara; Finnegan, Sam Ronan; Kad, Ridhima; Fowler, Kevin; Pomiankowski, Andrew"	Maintenance of Fertility in the Face of Meiotic Drive	AMERICAN NATURALIST	195	4	743	751	10.1086/707372	Apr-20	2020	0	WOS:000536127600015
"Ho, Pei-Chi; Chang, Chun-Wei; Shiah, Fuh-Kwo; Wang, Pei-Ling; Hsieh, Chih-Hao; Andersen, Ken H."	"Body Size, Light Intensity, and Nutrient Supply Determine Plankton Stoichiometry in Mixotrophic Plankton Food Webs"	AMERICAN NATURALIST	195	4	E100	E111	10.1086/707394	Apr-20	2020	0	WOS:000536127600001
"Pasztor, Liz; Barabas, Gyorgy; Meszena, Geza"	Competitive Exclusion and Evolution: Convergence Almost Never Produces Ecologically Equivalent Species	AMERICAN NATURALIST	195	4	E112	E117	10.1086/707610	Apr-20	2020	0	WOS:000536127600002
"Hargreaves, Anna L.; Germain, Rachel M.; Bontrager, Megan; Persi, Joshua; Angert, Amy L."	Local Adaptation to Biotic Interactions: A Meta-analysis across Latitudes	AMERICAN NATURALIST	195	3	395	411	10.1086/707323	Mar-20	2020	2	WOS:000519584000003
"Briscoe Runquist, Ryan D.; Gorton, Amanda J.; Yoder, Jeremy B.; Deacon, Nicholas J.; Grossman, Jake J.; Kothari, Shan; Lyons, Marta P.; Sheth, Seema N.; Tiffin, Peter; Moeller, David A."	Context Dependence of Local Adaptation to Abiotic and Biotic Environments: A Quantitative and Qualitative Synthesis	AMERICAN NATURALIST	195	3	412	431	10.1086/707322	Mar-20	2020	2	WOS:000519584000004
"Little, Chelsea J.; Fronhofer, Emanuel A.; Altermatt, Florian"	Nonlinear Effects of Intraspecific Competition Alter Landscape-Wide Scaling Up of Ecosystem Function	AMERICAN NATURALIST	195	3	432	444	10.1086/707018	Mar-20	2020	0	WOS:000519584000005
"Bachelot, Benedicte; Lee, Charlotte T."	Disturbances Can Promote and Hinder Coexistence of Competitors in Ongoing Partner Choice Mutualisms	AMERICAN NATURALIST	195	3	445	462	10.1086/707258	Mar-20	2020	0	WOS:000519584000006
"Billiard, Sylvain; Smadi, Charline"	"Stochastic Dynamics of Three Competing Clones: Conditions and Times for Invasion, Coexistence, and Fixation"	AMERICAN NATURALIST	195	3	463	484	10.1086/707017	Mar-20	2020	0	WOS:000519584000007
"Sikkink, Kristin L.; Hostager, Reilly; Kobiela, Megan E.; Fremling, Nathan; Johnston, Katherine; Zambre, Amod; Snell-Rood, Emilie C."	Tolerance of Novel Toxins through Generalized Mechanism Simulating Gradual Host Shifts of Butterflies	AMERICAN NATURALIST	195	3	485	503	10.1086/707195	Mar-20	2020	0	WOS:000519584000008
"Kyle, Colin H.; Liu, Jiawei; Gallagher, Molly E.; Dukic, Vanja; Dwyer, Greg"	Stochasticity and Infectious Disease Dynamics: Density and Weather Effects on a Fungal Insect Pathogen	AMERICAN NATURALIST	195	3	504	523	10.1086/707138	Mar-20	2020	1	WOS:000519584000009
"Pena, Jorge; Noldeke, Georg; Puebla, Oscar"	The Evolution of Egg Trading in Simultaneous Hermaphrodites	AMERICAN NATURALIST	195	3	524	533	10.1086/707016	Mar-20	2020	0	WOS:000519584000010
"Huang, Heng; Ran, Jinzhi; Li, Xiaowei; Wang, Zhiqiang; Chen, Renfei; Wu, Fan; Ye, Miao; Jia, Fei; Niklas, Karl J.; Deng, Jianming"	A General Model for Seed and Seedling Respiratory Metabolism	AMERICAN NATURALIST	195	3	534	546	10.1086/707072	Mar-20	2020	0	WOS:000519584000011
"Martin-Serra, Alberto; Benson, Roger B. J."	Developmental Constraints Do Not Influence Long-Term Phenotypic Evolution of Marsupial Forelimbs as Revealed by Interspecific Disparity and Integration Patterns	AMERICAN NATURALIST	195	3	547	560	10.1086/707194	Mar-20	2020	1	WOS:000519584000012
"Unckless, Robert L.; Orr, H. Allen"	The Population Genetics of Evolutionary Rescue in Diploids: X Chromosomal versus Autosomal Rescue	AMERICAN NATURALIST	195	3	561	568	10.1086/707139	Mar-20	2020	0	WOS:000519584000013
"Tanentzap, Andrew J.; Igea, Javier; Johnston, Matthew G.; Larcombe, Matthew J."	Does Evolutionary History Correlate with Contemporary Extinction Risk by Influencing Range Size Dynamics?	AMERICAN NATURALIST	195	3	569	576	10.1086/707207	Mar-20	2020	0	WOS:000519584000014
"Bachmann, Judith C.; van Rensburg, Alexandra Jansen; Cortazar-Chinarro, Maria; Laurila, Anssi; Van Buskirk, Josh"	Gene Flow Limits Adaptation along Steep Environmental Gradients	AMERICAN NATURALIST	195	3	E67	E86	10.1086/707209	Mar-20	2020	1	WOS:000519584000001
"Erm, Philip; Phillips, Ben L."	Evolution Transforms Pushed Waves into Pulled Waves	AMERICAN NATURALIST	195	3	E87	E99	10.1086/707324	Mar-20	2020	0	WOS:000519584000002
"Parins-Fukuchi, Caroline"	Detecting Mosaic Patterns in Macroevolutionary Disparity	AMERICAN NATURALIST	195	2	129	144	10.1086/706903	Feb-20	2020	1	WOS:000512604000003
"Blomberg, Simone P.; Rathnayake, Suren, I; Moreau, Cheyenne M."	Beyond Brownian Motion and the Ornstein-Uhlenbeck Process: Stochastic Diffusion Models for the Evolution of Quantitative Characters	AMERICAN NATURALIST	195	2	145	165	10.1086/706339	Feb-20	2020	0	WOS:000512604000004
"Knight, Clarke A.; Blois, Jessica L.; Blonder, Benjamin; Macias-Fauria, Marc; Ordonez, Alejandro; Svenning, Jens-Christian"	Community Assembly and Climate Mismatch in Late Quaternary Eastern North American Pollen Assemblages	AMERICAN NATURALIST	195	2	166	180	10.1086/706340	Feb-20	2020	0	WOS:000512604000005
"Perrard, Adrien"	Wasp Waist and Flight: Convergent Evolution in Wasps Reveals a Link between Wings and Body Shapes	AMERICAN NATURALIST	195	2	181	191	10.1086/706914	Feb-20	2020	0	WOS:000512604000006
"Rennison, Diana J.; Delmore, Kira E.; Samuk, Kieran; Owens, Gregory L.; Miller, Sara E."	Shared Patterns of Genome-Wide Differentiation Are More Strongly Predicted by Geography Than by Ecology	AMERICAN NATURALIST	195	2	192	200	10.1086/706476	Feb-20	2020	1	WOS:000512604000007
"Brouwer, Lyanne; Cockburn, Andrew; van de Pol, Martijn"	Integrating Fitness Components Reveals That Survival Costs Outweigh Other Benefits and Costs of Group Living in Two Closely Related Species	AMERICAN NATURALIST	195	2	201	215	10.1086/706475	Feb-20	2020	2	WOS:000512604000008
"Jarillo, Javier; Saether, Bernt-Erik; Engen, Steinar; Javier Cao-Garcia, Francisco"	Spatial Scales of Population Synchrony in Predator-Prey Systems	AMERICAN NATURALIST	195	2	216	230	10.1086/706913	Feb-20	2020	0	WOS:000512604000009
"Ochocki, Brad M.; Saltz, Julia B.; Miller, Tom E. X."	Demography-Dispersal Trait Correlations Modify the Eco-Evolutionary Dynamics of Range Expansion	AMERICAN NATURALIST	195	2	231	246	10.1086/706904	Feb-20	2020	0	WOS:000512604000010
"Sinervo, Barry; Chaine, Alexis S.; Miles, Donald B."	Social Games and Genic Selection Drive Mammalian Mating System Evolution and Speciation	AMERICAN NATURALIST	195	2	247	274	10.1086/706810	Feb-20	2020	0	WOS:000512604000011
"Fan, Xu-Li; Chomicki, Guillaume; Hao, Kai; Liu, Qiang; Xiong, Ying-Ze; Renner, Susanne S.; Gao, Jiang-Yun; Huang, Shuang-Quan"	Transitions between the Terrestrial and Epiphytic Habit Drove the Evolution of Seed-Aerodynamic Traits in Orchids	AMERICAN NATURALIST	195	2	275	283	10.1086/706905	Feb-20	2020	0	WOS:000512604000012
"Servedio, Maria R."	An Effective Mutualism? The Role of Theoretical Studies in Ecology and Evolution	AMERICAN NATURALIST	195	2	284	289	10.1086/706814	Feb-20	2020	0	WOS:000512604000013
"Otto, Sarah P.; Rosales, Alirio"	Theory in Service of Narratives in Evolution and Ecology	AMERICAN NATURALIST	195	2	290	299	10.1086/705991	Feb-20	2020	1	WOS:000512604000014
"Goldberg, Emma E.; Foo, Jasmine"	Memory in Trait Macroevolution	AMERICAN NATURALIST	195	2	300	314	10.1086/705992	Feb-20	2020	1	WOS:000512604000015
"Akcay, Erol"	Deconstructing Evolutionary Game Theory: Coevolution of Social Behaviors with Their Evolutionary Setting	AMERICAN NATURALIST	195	2	315	330	10.1086/706811	Feb-20	2020	3	WOS:000512604000016
"Vasconcelos, Paula; Rueffler, Claus"	How Does Joint Evolution of Consumer Traits Affect Resource Specialization?	AMERICAN NATURALIST	195	2	331	348	10.1086/706813	Feb-20	2020	2	WOS:000512604000017
"Peischl, Stephan; Gilbert, Kimberly J."	Evolution of Dispersal Can Rescue Populations from Expansion Load	AMERICAN NATURALIST	195	2	349	360	10.1086/705993	Feb-20	2020	4	WOS:000512604000018
"Sardell, Jason M.; Kirkpatrick, Mark"	Sex Differences in the Recombination Landscape	AMERICAN NATURALIST	195	2	361	379	10.1086/704943	Feb-20	2020	1	WOS:000512604000019
"Kokko, Hanna"	When Synchrony Makes the Best of Both Worlds Even Better: How Well Do We Really Understand Facultative Sex?	AMERICAN NATURALIST	195	2	380	392	10.1086/706812	Feb-20	2020	1	WOS:000512604000020
"Laskowski, Kate L.; Montiglio, Pierre-Olivier; Pruitt, Jonathan N."	"Individual and Group Performance Suffers from Social Niche Disruption (Retraction of Vol 187, Pg 776, 2016)"	AMERICAN NATURALIST	195	2	393	393	10.1086/708066	Feb-20	2020	1	WOS:000512604000021
"Caetano, Daniel S.; Beaulieu, Jeremy M."	Comparative Analyses of Phenotypic Sequences Using Phylogenetic Trees	AMERICAN NATURALIST	195	2	E38	E50	10.1086/706912	Feb-20	2020	0	WOS:000512604000001
"Ord, Terry J.; Garcia-Porta, Joan; Querejeta, Marina; Collar, David C."	Gliding Dragons and Flying Squirrels: Diversifying versus Stabilizing Selection on Morphology following the Evolution of an Innovation	AMERICAN NATURALIST	195	2	E51	E66	10.1086/706305	Feb-20	2020	1	WOS:000512604000002
"Kisdi, Eva; Weigang, Helene C.; Gyllenberg, Mats"	The Evolution of Immigration Strategies Facilitates Niche Expansion by Divergent Adaptation in a Structured Metapopulation Model	AMERICAN NATURALIST	195	1	1	15	10.1086/706258	Jan-20	2020	0	WOS:000508259300003
"Clark, Andrew D.; Deffner, Dominik; Laland, Kevin; Odling-Smee, John; Endler, John"	Niche Construction Affects the Variability and Strength of Natural Selection	AMERICAN NATURALIST	195	1	16	30	10.1086/706196	Jan-20	2020	2	WOS:000508259300004
"Weiss-Lehman, Christopher; Shaw, Allison K."	Spatial Population Structure Determines Extinction Risk in Climate-Induced Range Shifts	AMERICAN NATURALIST	195	1	31	42	10.1086/706259	Jan-20	2020	0	WOS:000508259300005
"Maso, Guillem; Ozgul, Arpat; Fitze, Patrick S."	Decreased Precipitation Predictability Negatively Affects Population Growth through Differences in Adult Survival	AMERICAN NATURALIST	195	1	43	55	10.1086/706183	Jan-20	2020	2	WOS:000508259300006
"Bialic-Murphy, Lalasia; Heckel, Christopher D.; McElderry, Robert M.; Kalisz, Susan"	Deer Indirectly Alter the Reproductive Strategy and Operational Sex Ratio of an Unpalatable Forest Perennial	AMERICAN NATURALIST	195	1	56	69	10.1086/706253	Jan-20	2020	0	WOS:000508259300007
"Bakewell, Adam T.; Davis, Katie E.; Freckleton, Robert P.; Isaac, Nick J. B.; Mayhew, Peter J."	Comparing Life Histories across Taxonomic Groups in Multiple Dimensions: How Mammal-Like Are Insects?	AMERICAN NATURALIST	195	1	70	81	10.1086/706195	Jan-20	2020	0	WOS:000508259300008
"Ryder, T. Brandt; Dakin, Roslyn; Vernasco, Ben J.; Evans, Brian S.; Horton, Brent M.; Moore, Ignacio T."	Testosterone Modulates Status-Specific Patterns of Cooperation in a Social Network	AMERICAN NATURALIST	195	1	82	94	10.1086/706236	Jan-20	2020	2	WOS:000508259300009
"Janouskova, Eva; Berec, Ludek"	"Fecundity-Longevity Trade-Off, Vertical Transmission, and Evolution of Virulence in Sterilizing Pathogens"	AMERICAN NATURALIST	195	1	95	106	10.1086/706182	Jan-20	2020	0	WOS:000508259300010
"Downs, Cynthia J.; Dochtermann, Ned A.; Ball, Ray; Klasing, Kirk C.; Martin, Lynn B."	The Effects of Body Mass on Immune Cell Concentrations of Mammals	AMERICAN NATURALIST	195	1	107	114	10.1086/706235	Jan-20	2020	1	WOS:000508259300011
"Van Dyken, J. David"	Evolutionary Rescue from a Wave of Biological Invasion	AMERICAN NATURALIST	195	1	115	128	10.1086/706181	Jan-20	2020	0	WOS:000508259300012
"Branco, Pedro; Egas, Martijn; Hall, Spencer R.; Huisman, Jef"	Why Do Phytoplankton Evolve Large Size in Response to Grazing?	AMERICAN NATURALIST	195	1	E20	E37	10.1086/706251	Jan-20	2020	0	WOS:000508259300002
"Pontes, Anselmo C.; Mobley, Robert B.; Ofria, Charles; Adami, Christoph; Dyer, Fred C."	The Evolutionary Origin of Associative Learning	AMERICAN NATURALIST	195	1	E1	E19	10.1086/706252	Jan-20	2020	0	WOS:000508259300001
"McLean, Emily M.; Archie, Elizabeth A.; Alberts, Susan C."	Lifetime Fitness in Wild Female Baboons: Trade-Offs and Individual Heterogeneity in Quality	AMERICAN NATURALIST	194	6	745	759	10.1086/705810	Dec-19	2019	1	WOS:000501897400004
"Soberon, Jorge"	A Grinnellian Niche Perspective on Species-Area Relationships	AMERICAN NATURALIST	194	6	760	775	10.1086/705898	Dec-19	2019	0	WOS:000501897400005
"Resetarits, William J., Jr.; Pintar, Matthew R.; Bohenek, Jason R.; Breech, Tyler M."	Patch Size as a Niche Dimension: Aquatic Insects Behaviorally Partition Enemy-Free Space across Gradients of Patch Size	AMERICAN NATURALIST	194	6	776	793	10.1086/705809	Dec-19	2019	1	WOS:000501897400006
"Clark, Adam; Hillebrand, Helmut; Harpole, W. Stanley"	Scale Both Confounds and Informs Characterization of Species Coexistence in Empirical Systems	AMERICAN NATURALIST	194	6	794	806	10.1086/705826	Dec-19	2019	1	WOS:000501897400007
"Gallagher, Molly E.; Dwyer, Greg"	Combined Effects of Natural Enemies and Competition for Resources on a Forest Defoliator: A Theoretical and Empirical Analysis	AMERICAN NATURALIST	194	6	807	822	10.1086/705940	Dec-19	2019	0	WOS:000501897400008
"Potapov, Anton M.; Brose, Ulrich; Scheu, Stefan; Tiunov, Alexei V."	Trophic Position of Consumers and Size Structure of Food Webs across Aquatic and Terrestrial Ecosystems	AMERICAN NATURALIST	194	6	823	839	10.1086/705811	Dec-19	2019	4	WOS:000501897400009
"Gorne, Lucas D.; Diaz, Sandra"	Meta-analysis Shows That Rapid Phenotypic Change in Angiosperms in Response to Environmental Change Is Followed by Stasis	AMERICAN NATURALIST	194	6	840	853	10.1086/705680	Dec-19	2019	0	WOS:000501897400010
